species,wlcent,gflog,excit,j_lo,e_upp,j_up,lande_lower,lande_upper,lande,gamrad,gamqst,gamvw,depth,reference,term_lower,term_upper,error,atom_number,ionization
C2 1,4730.4147,-1.525,0.07465448083849026,2.0,2.6949217560526604,2.0,99.0,99.0,99.0,6.77,0.0,0.0,0.001,_                             9 wl:BBSB   9 gf:BBSB   9 BBSB   9 BBSB   9 BBSB   9 BBSB   9 BBSB   9 BBSB   9 BBSB    (12)C(12)C,"2sg2.2su2.3sg1.1pu3 a,3,1,f,1,0,g","2sg2.2su1.3sg1.1pu3/2sg2.2su2.3sg1.1pg1.1pu2 d,3,1,e,1,1,g",0.5,1.0,1.0
V 1,4730.4155,-2.197,1.9451577242650961,2.5,4.565424858137282,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.417,-4.1080000000000005,5.373404308500456,2.0,7.993670626432638,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
V 1,4730.4175,-2.167,1.9451602534187404,2.5,4.565426313959728,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
V 1,4730.4191,-2.218,1.9451640477071352,2.5,4.565429225356652,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
V 1,4730.4203,-2.343,1.9451691077502025,2.5,4.565433592700009,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
V 1,4730.4212,-2.565,1.945175434415831,2.5,4.565439415741827,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
V 1,4730.4218,-2.975,1.9451830288198786,2.5,4.565446694482108,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.4232,-4.473,5.373414124701322,2.0,7.9936769795069,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
TiO 1,4730.4506,-0.758,0.5878277026323333,83.0,3.208131280419523,82.0,99.0,99.0,99.0,7.284,0.0,0.0,0.002,_          0.100759           8 wl:PPN2012   8 gf:PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012    (49)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,83,1","8s2.11s1.3p4.1d1 C,3,2,0,82,4",0.5,1.0,1.0
TiO 1,4730.4572,0.436,0.6636573552881244,77.0,3.283836403347375,78.0,99.0,99.0,99.0,7.285,0.0,0.0,0.027000000000000003,_          -0.117260          6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,78,2","8s2.11s1.3p4.1d1 C,3,2,0,79,5",0.5,1.0,1.0
TiO 1,4730.4639,-0.655,0.5144763948966121,62.0,3.1346575010935407,61.0,99.0,99.0,99.0,7.3,0.0,0.0,0.004,_          -0.107023          2 wl:PPN2012   2 gf:PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012    (47)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,62,2","8s2.11s1.3p4.1d1 C,3,2,0,61,5",0.5,1.0,1.0
TiO 1,4730.4676,-1.161,0.43131466395819057,28.0,3.0512829636785814,27.0,99.0,99.0,99.0,7.315,0.0,0.0,0.001,_          -0.487491          8 wl:PPN2012   8 gf:PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012    (49)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,28,3","8s2.11s1.3p4.1d1 C,3,2,0,27,6",0.5,1.0,1.0
TiO 1,4730.4686,0.47600000000000003,1.2647797842278214,109.0,3.885017551202994,110.0,99.0,99.0,99.0,7.237,0.0,0.0,0.003,_                             6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,109,4","8s2.11s1.3p4.1d1 C,3,2,0,110,8",0.5,1.0,1.0
TiO 1,4730.4876,-1.025,0.44607096557901116,28.0,3.0664675563111428,27.0,99.0,99.0,99.0,7.315,0.0,0.0,0.002,_          0.305598           2 wl:PPN2012   2 gf:PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012   2 PPN2012    (47)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,29,3","8s2.11s1.3p4.1d1 C,3,2,0,28,6",0.5,1.0,1.0
TiO 1,4730.4945,-1.226,0.40798024287016477,25.0,3.0289602288450723,24.0,99.0,99.0,99.0,7.316,0.0,0.0,0.001,_          1.36550            4 wl:PPN2012   4 gf:PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012    (50)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,24,3","8s2.11s1.3p4.1d1 C,3,2,0,23,6",0.5,1.0,1.0
Ca 1,4730.5046,-1.518,4.738566673246095,2.0,7.358784478765474,2.0,1.17,0.68,0.92,8.0,-3.95,-7.01,0.026000000000000002,_      A   Kurucz CaI 2007   27 wl:K07  27 gf:K07  27 K07  27 K07  27 K07  27 K07  27 K07  27 K07  27 K07    Ca,3p6.3d.4p 3D*,3p6.3d.6d 3F,0.5,1.0,1.0
TiO 1,4730.5422,-0.807,0.5087459320784811,60.0,3.1288857887329113,59.0,99.0,99.0,99.0,7.301,0.0,0.0,0.003,_          -0.103231          8 wl:PPN2012   8 gf:PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012    (49)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,61,2","8s2.11s1.3p4.1d1 C,3,2,0,60,5",0.5,1.0,1.0
